[ 3113817ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=60-g0MDyV1LdQggKC3IkB' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 4462094ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/vendor-concentration:0
[ 4480876ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/compliance-gaps:0
[ 4482376ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/sole-source-review?threshold=50000:0
[ 4492100ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/vendor-concentration:0
[ 4510882ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/compliance-gaps:0
[ 4512381ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/sole-source-review?threshold=50000:0
[ 4517444ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/analytics/summary:0
[ 4517445ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/analytics/risks?days=90:0
[ 4517445ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/compliance-gaps:0
[ 4517445ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/vendor-concentration:0
[ 4517446ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/sole-source-review?threshold=50000:0
[ 4547456ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/compliance-gaps:0
[ 4547456ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/vendor-concentration:0
[ 4547457ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/sole-source-review?threshold=50000:0
[ 5906986ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ http://localhost:8000/api/v1/analytics/summary:0
[ 5906986ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_RESET @ http://localhost:8000/api/v1/analytics/risks?days=90:0
[ 5913732ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/analytics/summary:0
[ 5913732ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/analytics/risks?days=90:0
[ 5943672ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/compliance-gaps:0
[ 5943672ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/vendor-concentration:0
[ 5943673ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/sole-source-review?threshold=50000:0
[ 5973677ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/compliance-gaps:0
[ 5973678ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/vendor-concentration:0
[ 5973678ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/sole-source-review?threshold=50000:0
[ 6003688ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/compliance-gaps:0
[ 6003688ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/vendor-concentration:0
[ 6003689ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:8000/api/v1/intelligence/sole-source-review?threshold=50000:0
